No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,50 GeV-2 TeV (Fermi),8.06e-12,+/-2.72E-12,erg/cm^2^/s,2.48e+26,3.25e-15,1.1e-15,1.1e-15,,,+/-1.10E-15,Jy,2016ApJS..222....5A,1 sigma,1.025 TeV,Broad-band measurement,049.9670 +41.5219 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
2,0.01-1 TeV (Fermi),4.8e-11,+/-3.16E-12,erg/cm^2^/s,1.22e+26,3.93e-14,2.59e-15,2.59e-15,,,+/-2.59E-15,Jy,2017ApJS..232...18A,1 sigma,0.51 TeV,Broad-band measurement,049.959995 +41.512283 (J2000),From fitting to map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
3,400 GeV (Whipple),,<0.29E-11,erg cm^-2^ s^-1^,9.67e+25,,,,3e-15,,<3.00E-15,Jy,2006ApJ...644..148P,90% confidence,400   GeV,Broad-band measurement,03 19 48 +41 30 42 (J2000),Flux integrated from map,,From new raw data
4,100 MeV-100 GeV LAT,1.741e-10,+/-8.1E-12,erg/s/cm^2^,1.21e+25,1.44e-12,6.69e-14,6.69e-14,,,+/-6.69E-14,Jy,2010ApJS..188..405A,uncertainty,50050 MeV,Broad-band measurement,049.941 +41.508 (J2000),From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
5,0.1-100 GeV (Fermi),1.737e-10,+/-6.2E-12,erg/cm^2^/s,1.21e+25,1.44e-12,5.12e-14,5.12e-14,,,+/-5.12E-14,Jy,2012ApJS..199...31N,1 sigma,50.05 GeV,Broad-band measurement,049.965 +41.513 (J2000),Modelled datum,Variable,From new raw data; NED frequency assigned to mid-point ofband in keV
6,0.1-100 GeV (Fermi),1.991e-10,+/-3.9E-12,erg/cm^2^/s,1.21e+25,1.65e-12,3.22e-23,3.22e-23,,,+/-3.22E-23,Jy,2015ApJS..218...23A,1 sigma,50.05 GeV,Broad-band measurement,049.959 +41.514 (J2000),From fitting to map,Variable; Gamma=2.08; Mod=LP,From new raw data; NED frequency assigned to mid-point ofband in keV
7,14-195 keV (Swift),6.85e-11,+/-0.28E-11,erg/s/cm^2^,2.53e+19,2.71e-07,1.11e-08,1.11e-08,,,+/-1.11E-08,Jy,2010ApJS..186..378T,uncertainty,104.50 keV,Broad-band measurement,049.960 +41.515 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
8,14-195 keV (Swift),1.15e-10,,erg/cm^2^/s,2.53e+19,4.55e-07,,,,,,Jy,2008ApJ...681..113T,no uncertainty reported,104.50 keV,Broad-band measurement,049.9507 +41.5117 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
9,14-195 keV (Swift),7.34e-11,,erg/cm^2^/s,2.53e+19,2.9e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
10,14-195 keV (Swift),7.92e-11,,erg/cm^2^/s,2.53e+19,3.13e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,104.50 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
11,14-195 keV (Swift),8.264e-11,+/-81.17E-12,erg/s/cm^2^,2.53e+19,3.27e-07,3.21e-07,3.21e-07,,,+/-3.21E-07,Jy,2018ApJS..235....4O,90% confidence,104.50 keV,Broad-band measurement,049.94724583 +41.50730342 (J2000),From fitting to map,S/N = 67.34 ; power law model,From new raw data; NED frequency assigned to mid-point ofband in keV
12,15-150 keV (Swift),5.7e-11,+/-2.9e-12,erg/cm^2^/s,1.99e+19,2.86e-07,1.46e-08,1.46e-08,,,+/-1.46E-08,Jy,2010A&A...524A..64C,uncertainty,82.50 keV,Broad-band measurement,049.951 +41.501 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
13,14-150 keV (Swift),6.93e-11,,erg/cm^2^/s,1.98e+19,3.5e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,82.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
14,40-100 keV INTEGRAL,2.29e-11,+/-0.25E-11,erg cm^-2^ s^-1^,1.69e+19,1.36e-07,1.48e-08,1.48e-08,,,+/-1.48E-08,Jy,2006ApJ...638..642B,uncertainty,70   keV,Broad-band measurement,03 19 48 +41 30 42 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
15,40-100 keV INTEGRAL,1.5,+/-0.6,milliCrab,1.69e+19,8.36e-08,3.34e-08,3.34e-08,,,+/-3.34E-08,Jy,2007ApJS..170..175B,uncertainty,70   keV,Broad-band measurement,049.953 +41.517 (J2000),Flux integrated from map,Time-averaged flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
16,40-100 keV INTEGRAL,4e-12,,erg/cm^2^/s,1.69e+19,2.37e-08,,,,,,Jy,2009A&A...505..417B,no uncertainty reported,70.00 keV,Broad-band measurement,49.95067 41.51170 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
17,20-100 keV INTEGRAL,3.759e-11,,erg/s/cm^2^,1.45e+19,2.59e-07,,,,,,Jy,2009MNRAS.399..944M,no uncertainty reported,60.00 keV,Broad-band measurement,03 19 48.16 +41 30 42.1 (J2000),Flux integrated from map,,Averaged from previously published data; NED frequencyassigned to mid-point of band in keV
18,20-50 keV (Swift),3.23e-11,,erg/cm^2^/s,8.46e+18,3.82e-07,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,35.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
19,20-40 keV (INTEGRAL),1.89e-11,+/-0.21E-11,erg cm^-2^ s^-1^,7.25e+18,2.61e-07,2.9e-08,2.9e-08,,,+/-2.90E-08,Jy,2006ApJ...638..642B,uncertainty,30   keV,Broad-band measurement,03 19 48 +41 30 42 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
20,20-40 keV (INTEGRAL),3.1,+/-0.4,milliCrab,7.25e+18,3.24e-07,4.18e-08,4.18e-08,,,+/-4.18E-08,Jy,2007ApJS..170..175B,uncertainty,30   keV,Broad-band measurement,049.953 +41.517 (J2000),Flux integrated from map,Time-averaged flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
21,20-40 keV (INTEGRAL),2.2e-11,,erg/cm^2^/s,7.25e+18,3.03e-07,,,,,,Jy,2009A&A...505..417B,no uncertainty reported,30.00 keV,Broad-band measurement,49.95067 41.51170 (J2000),Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
22,10-20 keV (MAXI),2.3413e-10,+/-5.13E-12,erg/cm^2^/s,3.63e+18,6.45e-06,1.41e-07,1.41e-07,,,+/-1.41E-07,Jy,2018ApJS..237...14O,1 sigma,15.00 keV,Broad-band measurement,049.950 +41.511 (J2000),From fitting to map,Detection sig. = 45.60; 7yr avg flux,From new raw data; NED frequency assigned to mid-point ofband in keV
23,4-10 keV (MAXI),6.0397e-10,+/-2.90E-12,erg/cm^2^/s,1.69e+18,3.57e-05,1.72e-07,1.72e-07,,,+/-1.72E-07,Jy,2018ApJS..237...14O,1 sigma,7.00 keV,Broad-band measurement,049.950 +41.511 (J2000),From fitting to map,Detection sig. = 200.1; 7yr avg flux,From new raw data; NED frequency assigned to mid-point ofband in keV
24,3-10 keV (MAXI),7.9938e-10,+/-3.02E-12,erg/cm^2^/s,1.57e+18,5.09e-05,1.92e-07,1.92e-07,,,+/-1.92E-07,Jy,2018ApJS..237...14O,1 sigma,6.50 keV,Broad-band measurement,049.950 +41.511 (J2000),From fitting to map,,From new raw data; NED frequency assigned to mid-point ofband in keV
25,2-10 keV (INTEGRAL),4.34e-11,+/-0.03E-11,erg cm^-2^ s^-1^,1.45e+18,2.99e-06,2.07e-08,2.07e-08,,,+/-2.07E-08,Jy,2006ApJ...638..642B,uncertainty,6   keV,Broad-band measurement,03 19 48 +41 30 42 (J2000),Flux integrated from map,,From new raw data; NED frequency assigned to mid-point ofband in keV
26,2-10 keV (XMM),-10.91,,log(erg/cm^2^/s),1.45e+18,8.48e-07,,,,,,Jy,2006A&A...455..173P,no uncertainty reported,6   keV,Broad-band measurement,03 19 48.2 +41 30 42.4 (J2000),Flux integrated from map,Nuclear flux,From new raw data; Extinction-corrected for internal andMilky Way; NED frequency assigned to mid-point of band in keV
27,2-10 keV (BeppoSAX),4.06e-10,+/-1.60E-11,erg/cm^2^/s,1.45e+18,2.8e-05,1.1e-06,1.1e-06,,,+/-1.10E-06,Jy,2007A&A...472..705V,uncertainty,6.00 keV,Broad-band measurement,03 19 47.1 +41 31 01.2 (J2000),Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
28,2-10 keV (Chandra),3.02e-11,,erg/cm^2^/s,1.45e+18,2.08e-06,,,,,,Jy,2011ApJ...738..147S,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
29,2-10 keV (Swift),5.344e-10,,erg/cm^2^/s,1.45e+18,3.69e-05,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,Observed flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
30,2-10 keV (Swift),1.328e-10,,erg/cm^2^/s,1.45e+18,9.16e-06,,,,,,Jy,2017ApJS..233...17R,no uncertainty reported,6.00 keV,Broad-band measurement,,Modelled datum,Intrinsic flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
31,0.3-8 keV (Chandra),1.11e-11,,ergs/cm^2^/s,1e+18,1.11e-06,,,,,,Jy,2004ApJ...617..915D,no uncertainty reported,4.15 keV,Broad-band measurement,,Total flux,AGN flux; power law,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
32,0.3-8 keV (Chandra),1.41e-11,,ergs/cm^2^/s,1e+18,1.41e-06,,,,,,Jy,2004ApJ...617..915D,no uncertainty reported,4.15 keV,Broad-band measurement,,Total flux,Source flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
33,3-4 keV (MAXI),1.9541e-10,+/-0.85E-12,erg/cm^2^/s,8.46e+17,2.31e-05,1e-07,1e-07,,,+/-1.00E-07,Jy,2018ApJS..237...14O,1 sigma,3.50 keV,Broad-band measurement,049.950 +41.511 (J2000),From fitting to map,Detection sig. = 231.20; 7yr avg flux,From new raw data; NED frequency assigned to mid-point ofband in keV
34,0.5-5 keV (Chandra),6.1e-12,+/-0.8E-12,erg cm^-2^ s^-1^,6.65e+17,9.17e-07,1.2e-07,1.2e-07,,,+/-1.20E-07,Jy,2006A&A...451...35B,90% confidence,2.75   keV,Broad-band measurement,,Flux integrated from map,Nuclear flux,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
35,0.5-5 keV (Chandra),7.6e-13,+/-3.5E-13,erg cm^-2^ s^-1^,6.65e+17,1.14e-07,5.26e-08,5.26e-08,,,+/-5.26E-08,Jy,2006A&A...451...35B,90% confidence,2.75   keV,Broad-band measurement,,Flux integrated from map,Thermal component flux,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
36,0.1-2.4 keV (ROSAT),2.839e-10,+/-5.97E-12,erg/cm^2^/s,3.02e+17,9.4e-05,1.98e-06,1.98e-06,,,+/-1.98E-06,Jy,2007A&A...476..759B,statistical error,1.25 keV,Broad-band measurement,,Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
37,0.1-2.4 keV (Swift),1.9792e-10,,erg/cm^2^/s,3.02e+17,6.55e-05,,,,,,Jy,2010A&A...520A..47M,no uncertainty reported,1.25 keV,Broad-band measurement,049.950 +41.512 (J2000),Flux integrated from map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
38,0.1-2.4 keV (ROSAT),19.7918,,erg/cm^2^/s,3.02e+17,6.55e-05,,,,,,Jy,2009A&A...495..691M,no uncertainty reported,1.25 keV,Broad-band measurement,03 19 48.1 +41 30 42.0 (J2000),Not reported in paper,,Averaged from previously published data; NED frequencyassigned to mid-point of band in keV
39,0.1-2.4 keV (RASS),,,erg/cm^2^/s,3.02e+17,0.000253,,,,,,Jy,2015ApJ...810...14A,no uncertainty reported,1.25 keV,Broad-band measurement,049.95067 +41.51170 (J2000),Not reported in paper,,Averaged from previously published data; NED frequencyassigned to mid-point of band in keV
40,1 keV (Chandra),2.8e-12,+/-0.5E-12,erg cm^-2^ s^-1^,2.42e+17,1.16e-06,2.07e-07,2.07e-07,,,+/-2.07E-07,Jy,2006A&A...451...35B,90% confidence,1   keV,Broad-band measurement,,Flux integrated from map,Non-thermal nuclear flux,From reprocessed raw data; Extinction-corrected for Milky Way
41,1 keV (XMM),2400.0,+/-200,nJy,2.42e+17,2.4e-06,2e-07,2e-07,,,+/-2.00E-07,Jy,2006ApJ...642...96E,uncertainty,1   keV,Broad-band measurement,03 19 48.16 +41 30 42.11 (J2000),Flux in fixed aperture,,From reprocessed raw data
42,FUV (GALEX) AB,15.33,+/-0.0029,mag,1980000000000000.0,0.00268,7.16e-06,7.16e-06,,,+/-7.16E-06,Jy,2012ApJS..199...23H,uncertainty,1516 A,Broad-band measurement,,Flux in fixed aperture,,Averaged from previously published data
43,FUV (GALEX) AB,16.01,+/-0.050,mag,1980000000000000.0,0.00143,6.6e-05,6.6e-05,,,+/-6.60E-05,Jy,2017MNRAS.464.3920S,uncertainty,1516 A,Broad-band measurement,,Flux in fixed aperture,Mag uncorrected for extinction,From reprocessed raw data
44,FUV (GALEX) AB,14.52,+/-0.10,mag,1960000000000000.0,0.00565,0.000521,0.000521,,,+/-5.21E-04,Jy,2014ApJS..212...18B,uncertainty,1531   A,Broad-band measurement,49.95060000 41.51165000 (J2000),Flux in fixed aperture,"75""x40"" aperture",From new raw data; Extinction-corrected for Milky Way
45,FUV (GALEX) AB,16.21,+/-0.10,mag,1960000000000000.0,0.00119,0.00011,0.00011,,,+/-1.10E-04,Jy,2014ApJS..212...18B,uncertainty,1531   A,Broad-band measurement,49.95060000 41.51165000 (J2000),Flux in fixed aperture,"75""x40"" aperture",From new raw data
46,FUV (GALEX),14.71,+/-0.06,mag,1950000000000000.0,0.00068,3.76e-05,3.76e-05,,,+/-3.76E-05,Jy,2015ApJS..220....6B,uncertainty,1539 A,Broad-band measurement,03 19 48.252 +41 30 41.58 (J2000),Flux in fixed aperture,Asymptotic magnitude,From reprocessed raw data
47,FUV (GALEX),14.81,+/-0.01,mag,1950000000000000.0,0.00062,5.71e-06,5.71e-06,,,+/-5.71E-06,Jy,2015ApJS..220....6B,uncertainty,1539 A,Broad-band measurement,03 19 48.252 +41 30 41.58 (J2000),Flux in fixed aperture,D25 magnitude,From reprocessed raw data
